epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20212.8,1.50834,1.0015,1.22741,0.7182,0.68735,0.71389,0.28477,1.8921,1.11379,1.41812,0.000349331,0.000349331,0.000349331
43,20609.1,1.48993,0.97456,1.21435,0.74238,0.67154,0.72412,0.29288,1.87102,1.10746,1.41082,0.00034351,0.00034351,0.00034351
44,21002.4,1.5158,0.97433,1.22986,0.69616,0.6871,0.71694,0.29498,1.88718,1.09502,1.40981,0.000337688,0.000337688,0.000337688
45,21399.1,1.48425,0.95995,1.20431,0.7515,0.68977,0.73002,0.29079,1.89852,1.09436,1.41849,0.000331867,0.000331867,0.000331867
46,21814.2,1.46795,0.95384,1.19692,0.69635,0.7058,0.71998,0.29325,1.88385,1.09362,1.41622,0.000326046,0.000326046,0.000326046
47,22264.6,1.47048,0.9444,1.20566,0.73034,0.69782,0.71436,0.28747,1.87714,1.09684,1.4257,0.000320225,0.000320225,0.000320225
48,22715.1,1.49,0.9638,1.20236,0.70367,0.6747,0.7093,0.28589,1.90463,1.11215,1.42522,0.000314404,0.000314404,0.000314404
49,23160.6,1.50081,0.9659,1.20569,0.70735,0.6924,0.72039,0.28148,1.89841,1.09337,1.43286,0.000308582,0.000308582,0.000308582
50,23694.8,1.51587,0.9446,1.21929,0.73186,0.66826,0.72252,0.28508,1.90639,1.08398,1.42556,0.000302761,0.000302761,0.000302761
51,24260.1,1.45259,0.92279,1.17365,0.71838,0.68766,0.72059,0.29114,1.88385,1.06271,1.42412,0.00029694,0.00029694,0.00029694
52,24810.8,1.46823,0.90899,1.19199,0.72484,0.70414,0.72146,0.28454,1.91517,1.07339,1.43293,0.000291119,0.000291119,0.000291119
53,25686.7,1.45097,0.92002,1.18586,0.73309,0.70037,0.73361,0.2903,1.90879,1.05772,1.43582,0.000285298,0.000285298,0.000285298
54,25906.8,1.44883,0.90978,1.19281,0.72151,0.71605,0.72231,0.28228,1.91902,1.05507,1.43888,0.000279476,0.000279476,0.000279476
55,26218.3,1.44116,0.92019,1.18752,0.72253,0.70146,0.72846,0.28789,1.9231,1.06361,1.45173,0.000273655,0.000273655,0.000273655
56,26523.3,1.40525,0.90217,1.15757,0.72318,0.67189,0.71828,0.28306,1.90829,1.06682,1.43989,0.000267834,0.000267834,0.000267834
57,26835.8,1.4382,0.92233,1.18819,0.72446,0.68171,0.70728,0.28174,1.93101,1.08495,1.44466,0.000262013,0.000262013,0.000262013
58,27157.3,1.42741,0.91749,1.17037,0.73122,0.69785,0.7126,0.28853,1.91654,1.05742,1.43909,0.000256192,0.000256192,0.000256192
59,27502.9,1.43216,0.8964,1.18618,0.74262,0.69578,0.71955,0.29413,1.91553,1.05365,1.43262,0.00025037,0.00025037,0.00025037
60,27847.1,1.43393,0.88606,1.17868,0.75287,0.69684,0.72854,0.29428,1.90316,1.04707,1.44047,0.000244549,0.000244549,0.000244549
61,28193.2,1.44582,0.88451,1.18868,0.74683,0.68379,0.72205,0.29215,1.89267,1.03936,1.42821,0.000238728,0.000238728,0.000238728
62,28542.1,1.41864,0.90939,1.18157,0.73184,0.68534,0.70633,0.28157,1.91134,1.05698,1.4434,0.000232907,0.000232907,0.000232907
63,28835.9,1.41545,0.87648,1.16524,0.71769,0.70378,0.71329,0.28382,1.90305,1.05001,1.44376,0.000227086,0.000227086,0.000227086
64,29134.5,1.40363,0.87572,1.18272,0.73747,0.70341,0.72623,0.28411,1.91756,1.04072,1.44521,0.000221264,0.000221264,0.000221264
65,29491.1,1.40571,0.86468,1.17379,0.74688,0.70208,0.73108,0.29226,1.90955,1.03579,1.44742,0.000215443,0.000215443,0.000215443
